    { id: 10596, type: 'finisher', name: 'Kwismas Spiced Api Juice', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71010596.webp' },
    { id: 18299, type: 'finisher', name: 'Stasis Stench', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71018299.webp' },
    { id: 18300, type: 'finisher', name: 'Distilled Torment', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71018300.webp' },
    { id: 18713, type: 'finisher', name: 'Fanatic Beverage', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71018713.webp' },
    { id: 20753, type: 'finisher', name: 'Evangelyne Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71020753.webp' },
    { id: 20754, type: 'finisher', name: 'Percedal Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71020754.webp' },
    { id: 20755, type: 'finisher', name: 'Yugo Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71020755.webp' },
    { id: 20756, type: 'finisher', name: 'Goultard Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71020756.webp' },
    { id: 20792, type: 'finisher', name: 'Otomai Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71020792.webp' },
    { id: 21951, type: 'finisher', name: 'Amalia Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71021951.webp' },
    { id: 23883, type: 'finisher', name: 'God Xelor Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71023883.webp' },
    { id: 24156, type: 'finisher', name: 'God Enutrof Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024156.webp' },
    { id: 24247, type: 'finisher', name: 'Goddess Cra Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024247.webp' },
    { id: 24295, type: 'finisher', name: 'God Sram Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024295.webp' },
    { id: 24296, type: 'finisher', name: 'God Ecaflip Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024296.webp' },
    { id: 24857, type: 'finisher', name: 'Goddess Eniripsa Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024857.webp' },
    { id: 24858, type: 'finisher', name: 'Goddess Sacrier Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71024858.webp' },
    { id: 25047, type: 'finisher', name: 'Goddess Feca Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71025047.webp' },
    { id: 25048, type: 'finisher', name: 'God Osamodas Finisher', imageUrl: 'https://storage.googleapis.com/wakfu_nexus_data/img/items/71025048.webp' },
